Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
237,P23,rishmak/shirin bayan,13,1,shekar,shekar suxte,6,5,2,2,1,2,0,0,1
238,P23,avishan,14,5,avishan,avishan,7,7,5,6,4,5,1,1,1
239,P23,mikhak,15,4,N/A,namak,4,4,3,3,2,5,999,0,N/A
240,P23,okaliptus,16,6,N/A,N/A,7,7,5,7,7,7,999,999,N/A
241,P27,babune,1,13,golpar,N/A,4,5,3,1,2,2,0,999,N/A
242,P27,zardchube,2,14,zardchube,N/A,4,3,3,5,4,4,1,999,N/A
243,P27,na'na,3,9,na'na,na'na,1,4,4,4,5,3,1,1,1
244,P27,limu amani,4,15,limu amuni,limu amuni,2,7,5,7,2,4,1,1,1
245,P27,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,6,7,1,1,1
246,P27,zire,6,11,zire,zire,6,7,7,6,6,4,1,1,1
247,P27,behlimu,7,16,N/A,ostokhoddus,5,5,6,6,7,3,999,0,N/A
248,P27,raziyune,8,8,raziyune,N/A,4,5,5,4,4,2,1,999,N/A
249,P27,za'ferun,9,7,zaferun,zaferun,7,7,7,7,3,3,1,1,1
250,P27,rozmari,10,3,murd,N/A,2,2,3,4,3,2,0,999,N/A
251,P27,darchin,11,12,darchin,darchin,6,6,6,7,7,4,1,1,1
252,P27,ostokhoddus,12,2,ostokhodus,ostokhodus,5,7,5,6,6,5,1,1,1
253,P27,rishmak/shirin bayan,13,1,ghareye mahk,ghareye mahk,6,7,4,1,6,3,1,1,1
254,P27,avishan,14,5,avishan,avishan,6,6,7,7,5,4,1,1,1
255,P27,mikhak,15,4,mikhak,mikhak,7,7,6,5,7,3,1,1,1
256,P27,okaliptus,16,6,viks,viks,4,6,5,2,7,3,0,0,1
257,P30,babune,1,13,babune,babune,6,7,6,7,7,4,1,1,1
258,P30,zardchube,2,14,zardchube,zardchube,6,7,5,7,5,7,1,1,1
259,P30,na'na,3,9,na'na,na'na,7,7,6,7,7,7,1,1,1
260,P30,limu amani,4,15,limu amuni,limu amuni,7,7,5,7,4,7,1,1,1
261,P30,bahare naranj,5,10,bahare narenj,bahar naranj,7,7,7,7,3,5,1,1,1
262,P30,zire,6,11,N/A,zire,7,7,5,7,5,7,999,1,N/A
263,P30,behlimu,7,16,N/A,N/A,6,7,6,7,6,7,999,999,N/A
264,P30,raziyune,8,8,N/A,zanjefil,7,7,5,7,6,7,999,0,N/A
265,P30,za'ferun,9,7,za'feran,zaferun,7,7,7,7,6,7,1,1,1
266,P30,rozmari,10,3,N/A,N/A,6,5,4,5,3,6,999,999,N/A
267,P30,darchin,11,12,zanjefil,N/A,6,6,5,7,4,7,0,999,N/A
268,P30,ostokhoddus,12,2,N/A,N/A,7,1,2,2,6,1,999,999,N/A
269,P30,rishmak/shirin bayan,13,1,mild coffee,coffee,3,7,5,7,1,7,999,0,1
270,P30,avishan,14,5,N/A,N/A,7,7,5,7,4,7,999,999,N/A
271,P30,mikhak,15,4,mikhak,mikhak,7,7,5,7,7,7,1,1,1
272,P30,okaliptus,16,6,N/A,N/A,7,7,7,7,6,6,999,999,N/A
273,P34,babune,1,13,mikhak,babune,7,7,7,7,7,7,0,1,0
274,P34,zardchube,2,14,joze hendi,zardchube,7,7,3,2,1,7,0,1,0
275,P34,na'na,3,9,ostokhodus,sonboltib,7,6,6,6,7,1,0,0,0
276,P34,limu amani,4,15,limu amuni,limu amuni,7,7,7,7,3,7,1,1,1
277,P34,bahare naranj,5,10,babune,gole nastaran,7,7,7,6,6,7,0,0,0
278,P34,zire,6,11,tokhme shivid,zire,7,7,7,7,7,7,0,1,0
279,P34,behlimu,7,16,felfel siah,N/A,5,7,6,6,7,1,0,999,N/A
280,P34,raziyune,8,8,raziyune,razyane,7,7,7,7,7,7,1,1,1
281,P34,za'ferun,9,7,zafarun,zaferun,7,7,7,7,1,7,1,1,1
282,P34,rozmari,10,3,okaliptus,okaliptus/viks,5,4,4,6,7,1,0,0,1
283,P34,darchin,11,12,darchin,darchin,5,7,7,7,7,7,1,1,1
284,P34,ostokhoddus,12,2,sonboltib,osghodus,6,7,5,5,7,7,0,1,0
285,P34,rishmak/shirin bayan,13,1,rishemahk,shirin bayan,6,7,7,7,7,7,1,1,1
286,P34,avishan,14,5,avishan,avishan,7,7,7,7,7,7,1,1,1
287,P34,mikhak,15,4,gole gavzabun,babune,7,2,6,5,6,1,0,0,0
288,P34,okaliptus,16,6,okaliptus,okaliptus,7,7,6,5,7,2,1,1,1
289,P35,babune,1,13,N/A,N/A,6,5,4,5,6,2,999,999,N/A
290,P35,zardchube,2,14,zardchube,zardchube,7,7,4,5,6,7,1,1,1
291,P35,na'na,3,9,na'na,na'na,7,7,6,6,7,5,1,1,1
292,P35,limu amani,4,15,limu amani,limu amuni,7,7,7,6,5,5,1,1,1
293,P35,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,6,4,1,1,1
294,P35,zire,6,11,zire,zire,7,6,5,5,6,1,1,1,1
295,P35,behlimu,7,16,N/A,reyhan,6,7,7,6,5,5,999,0,N/A
296,P35,raziyune,8,8,N/A,N/A,7,5,4,5,6,1,999,999,N/A
297,P35,za'ferun,9,7,zafarun,zaferun,7,7,7,7,5,7,1,1,1
298,P35,rozmari,10,3,avishan,N/A,6,5,5,4,6,3,0,999,N/A
299,P35,darchin,11,12,darchin,darchin,7,7,7,5,7,4,1,1,1
300,P35,ostokhoddus,12,2,N/A,N/A,7,1,2,2,5,1,999,999,N/A
301,P35,rishmak/shirin bayan,13,1,ghahve,N/A,5,6,5,4,3,7,0,999,N/A
302,P35,avishan,14,5,avishan,avishan,7,7,7,6,6,7,1,1,1
303,P35,mikhak,15,4,N/A,mikhak,7,6,4,5,6,2,999,1,N/A
304,P35,okaliptus,16,6,okaliptus,okaliptus,7,7,6,1,6,2,1,1,1
305,P37,babune,1,13,N/A,N/A,3,7,3,2,4,2,999,999,N/A
306,P37,zardchube,2,14,zardchube,zardchube,6,6,4,7,6,7,1,1,1
307,P37,na'na,3,9,N/A,N/A,7,5,5,3,6,2,999,999,N/A
308,P37,limu amani,4,15,N/A,N/A,2,1,1,2,2,2,999,999,N/A
309,P37,bahare naranj,5,10,N/A,N/A,6,7,6,5,6,6,999,999,N/A
310,P37,zire,6,11,zire,zire,6,7,7,7,6,7,1,1,1
311,P37,behlimu,7,16,oskhodus,N/A,7,5,5,6,5,3,0,999,N/A
312,P37,raziyune,8,8,tokhme gishniz,N/A,5,4,6,5,6,2,0,999,N/A
313,P37,za'ferun,9,7,zafarun,zaferun,5,7,7,7,7,7,1,1,1
314,P37,rozmari,10,3,N/A,N/A,2,3,5,6,6,4,999,999,N/A
315,P37,darchin,11,12,darchin,darchin,6,7,6,7,6,5,1,1,1
316,P37,ostokhoddus,12,2,N/A,N/A,5,5,6,4,6,3,999,999,N/A
317,P37,rishmak/shirin bayan,13,1,N/A,N/A,3,2,7,4,6,2,999,999,N/A
318,P37,avishan,14,5,abshan,avishan,6,7,7,7,6,6,1,1,1
319,P37,mikhak,15,4,mikhak,mikhak,7,7,7,6,7,5,1,1,1
320,P37,okaliptus,16,6,N/A,N/A,6,7,5,5,6,3,999,999,N/A
321,P40,babune,1,13,N/A,N/A,6,5,5,3,2,3,999,999,N/A
322,P40,zardchube,2,14,N/A,zardchube,6,7,4,3,1,7,999,1,N/A
323,P40,na'na,3,9,na'na,N/A,6,6,6,4,6,2,1,999,N/A
